PlacementStatusEmployerIfYes,PlacementCategory
No ,No
No,No
No,No
No,No
 ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Ithena technologies pvt ltd,Yes
No,No
No,No
Entrata India,Yes
No,No
No,No
No,No
Airtel,Yes
No,No
No,No
No,No
no,No
No,No
No,No
No,No
Getting a job,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
,No
No,No
Yet to accept the offer from my side,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
No,No
no,No
No,No
Not placed still.,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
no,No
No,No
Yes Cognizant,Yes
No,No
NO,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
No,No
No,No
No,No
MSS INTERNATIONALAMBAD MIDCNASHIK ,Yes
No,No
No,No
No,No
No,No
No. But I will either choose to become a engineer or A Pilot in Future.,Yes
No ,No
No,No
No,No
No,No
No,No
Nil,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
.,No
no,No
No,No
No,No
no,No
No,No
No,No
No,No
No,No
 No,No
Not placed,No
No,No
No,No
No,No
No,No
No,No
No,No
 No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
NO,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
Mumbai,Yes
No,No
No,No
No,No
No,No
Yes,Yes
.,No
No,No
No,No
No,No
. ,No
Google or apple ,Yes
No,No
No,No
..,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
,No
No,No
No,No
No,No
No,No
No,No
no,No
No,No
No,No
no,No
Bo,Yes
No,No
No,No
No,No
No,No
.,No
No ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
. ,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
..,No
No,No
Reliance industry Ltd,Yes
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
..,No
No,No
No,No
No,No
No,No
No,No
No,No
No ,No
No,No
No ,No
-,No
No,No
No,No
No,No
Gunjan saxena ,Yes
No,No
Nope,No
Vaishnavi developers,Yes
No,No
Yes ,Yes
No,No
.,No
Na,No
I am not ,Yes
No,No
No,No
No,No
Yes,Yes
No,No
no,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
Site Engineer ,Yes
No,No
No,No
No,No
