OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
881,Cars travel  Tv  Cartoonsbikesfoodtime spending with family ,cars travel  tv  cartoonsbikesfoodtime spending with family,"Arts & Crafts (art), Travel & Adventure (travel), Cooking & Baking (food), Entertainment (tv), Automotive & Racing (car), Mind & Wellness (family)","Arts & Crafts (art), Automotive & Racing (car), Cooking & Baking (food), Entertainment (tv), Mind & Wellness (family), Travel & Adventure (travel)"
882,Interest in listing song ,interest in listing song,Music & Dance (song),Music & Dance (song)
883, I like singing  and dancing,i like singing  and dancing,Music & Dance (singing),Music & Dance (singing)
884,Reading Music drawing dance ,reading music drawing dance,"Arts & Crafts (drawing), Music & Dance (music), Reading & Writing (read)","Arts & Crafts (drawing), Music & Dance (music), Reading & Writing (read)"
885,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
886,product videography ,product videography,Design (videography),Design (videography)
887,Cricket ,cricket,Sports (cricket),Sports (cricket)
888,Dancing writing listening music travelling shopping ,dancing writing listening music travelling shopping,"Music & Dance (music), Reading & Writing (writing), Travel & Adventure (travel), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music), Reading & Writing (writing), Travel & Adventure (travel)"
889,Cricket,cricket,Sports (cricket),Sports (cricket)
890,Swimming,swimming,Sports (swim),Sports (swim)
891,Watching cricketplaying videogamesacting,watching cricketplaying videogamesacting,"Sports (cricket), Arts & Crafts (acting), Gaming (game), Entertainment (watching)","Arts & Crafts (acting), Entertainment (watching), Gaming (game), Sports (cricket)"
892,Dancing singing acting ,dancing singing acting,"Arts & Crafts (acting), Music & Dance (singing)","Arts & Crafts (acting), Music & Dance (singing)"
893,Interested in music a good singer and artist good creative skills ,interested in music a good singer and artist good creative skills,"Arts & Crafts (art), Music & Dance (music)","Arts & Crafts (art), Music & Dance (music)"
894,Knowing about politics and watching science frictional movies,knowing about politics and watching science frictional movies,Entertainment (movie),Entertainment (movie)
895,Music Production Volleyball Game development ,music production volleyball game development,"Sports (volley), Music & Dance (music), Gaming (game)","Gaming (game), Music & Dance (music), Sports (volley)"
896,Watching sitcoms or web series ,watching sitcoms or web series,Entertainment (web series),Entertainment (web series)
897,Playing cricket travelling exploring ,playing cricket travelling exploring,"Sports (cricket), Travel & Adventure (travel)","Sports (cricket), Travel & Adventure (travel)"
898,Dance,dance,Music & Dance (dance),Music & Dance (dance)
899,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
900,Travelling ,travelling,Travel & Adventure (travel),Travel & Adventure (travel)
901,Playing games,playing games,Gaming (game),Gaming (game)
902,Not any specific.,not any specific,,None (no matches)
903,.,,,None (explicit none match)
904,Ho learn new technologies ,ho learn new technologies,"Reading & Writing (learn), Technology & Coding (tech), Design (new)","Design (new), Reading & Writing (learn), Technology & Coding (tech)"
905,Learning new skills and interested in volunteering teamwork ,learning new skills and interested in volunteering teamwork,"Reading & Writing (learn), Social & Volunteering (volunteer), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Reading & Writing (learn), Social & Volunteering (volunteer)"
906,Playing cricket ,playing cricket,Sports (cricket),Sports (cricket)
907,Watching movies and listening music,watching movies and listening music,"Music & Dance (music), Entertainment (movie), Mind & Wellness (listening)","Entertainment (movie), Mind & Wellness (listening), Music & Dance (music)"
908,I just like to play cricket.,i just like to play cricket,Sports (cricket),Sports (cricket)
909,Reading fiction books watching netflix,reading fiction books watching netflix,"Reading & Writing (read), Entertainment (watching)","Entertainment (watching), Reading & Writing (read)"
910,..,,,None (explicit none match)
911,Watching Movies ,watching movies,Entertainment (movie),Entertainment (movie)
912,Listening music observing things.,listening music observing things,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
913,Cars,cars,Automotive & Racing (car),Automotive & Racing (car)
914,Travelling ,travelling,Travel & Adventure (travel),Travel & Adventure (travel)
915,Playing cricket ,playing cricket,Sports (cricket),Sports (cricket)
916,Miniature design Classical Basari Instrument Playing ,miniature design classical basari instrument playing,Design (design),Design (design)
917,Drawing painting doing mehndi art,drawing painting doing mehndi art,"Arts & Crafts (drawing), Technology & Coding (doing)","Arts & Crafts (drawing), Technology & Coding (doing)"
918,Playing and watching cricket ,playing and watching cricket,"Sports (cricket), Entertainment (watching)","Entertainment (watching), Sports (cricket)"
919,Singing  drawing,singing  drawing,"Arts & Crafts (drawing), Music & Dance (singing)","Arts & Crafts (drawing), Music & Dance (singing)"
920,Badminton,badminton,Sports (badminton),Sports (badminton)
921,Swimming ,swimming,Sports (swim),Sports (swim)
922,Gym cricket,gym cricket,"Sports (cricket), Fitness & Gym (gym)","Fitness & Gym (gym), Sports (cricket)"
923,Cricket,cricket,Sports (cricket),Sports (cricket)
924,..,,,None (explicit none match)
925,Sky watching and Sports,sky watching and sports,"Sports (sport), Entertainment (watching)","Entertainment (watching), Sports (sport)"
926,Sports ,sports,Sports (sport),Sports (sport)
927,Swimming Taekwondo tracking ,swimming taekwondo tracking,"Sports (taekwondo), Travel & Adventure (tracking)","Sports (taekwondo), Travel & Adventure (tracking)"
928,Football music,football music,"Sports (football), Music & Dance (music)","Music & Dance (music), Sports (football)"
929,Swimming and Event Managing ,swimming and event managing,"Sports (swim), Social & Volunteering (event)","Social & Volunteering (event), Sports (swim)"
930,Writing poems ,writing poems,Reading & Writing (writing),Reading & Writing (writing)
931,Arts craft singing sketching ,arts craft singing sketching,"Arts & Crafts (sketching), Music & Dance (singing)","Arts & Crafts (sketching), Music & Dance (singing)"
932,Sketching  Cooking ,sketching  cooking,"Arts & Crafts (sketching), Cooking & Baking (cook)","Arts & Crafts (sketching), Cooking & Baking (cook)"
933,Reading booksdancing singing karate ,reading booksdancing singing karate,"Sports (karate), Music & Dance (singing), Reading & Writing (read)","Music & Dance (singing), Reading & Writing (read), Sports (karate)"
934,Sketching ,sketching,Arts & Crafts (sketching),Arts & Crafts (sketching)
935,Dancing reading,dancing reading,"Music & Dance (dancing), Reading & Writing (read)","Music & Dance (dancing), Reading & Writing (read)"
936,Dancing and reading ,dancing and reading,"Music & Dance (dancing), Reading & Writing (read)","Music & Dance (dancing), Reading & Writing (read)"
937,Geopolitical study,geopolitical study,Education & Study (study),Education & Study (study)
938,Badminton and dancing ,badminton and dancing,"Sports (badminton), Music & Dance (dancing)","Music & Dance (dancing), Sports (badminton)"
939,Gaming ,gaming,Gaming (gaming),Gaming (gaming)
940,Nothing ,nothing,,None (explicit none match)
941,Paintings ,paintings,Arts & Crafts (painting),Arts & Crafts (painting)
942,Dancing,dancing,Music & Dance (dancing),Music & Dance (dancing)
943,Reading exploring,reading exploring,"Reading & Writing (read), Travel & Adventure (exploring)","Reading & Writing (read), Travel & Adventure (exploring)"
944,I play badminton and swim ,i play badminton and swim,Sports (badminton),Sports (badminton)
945,Playing cricket,playing cricket,Sports (cricket),Sports (cricket)
946,Dance ,dance,Music & Dance (dance),Music & Dance (dance)
947,Learning New Things Playing Cricket Traveling Eating ,learning new things playing cricket traveling eating,"Sports (cricket), Reading & Writing (learn), Travel & Adventure (travel), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Reading & Writing (learn), Sports (cricket), Travel & Adventure (travel)"
948,No option ,no option,,None (no matches)
949,Coding  cricket,coding  cricket,"Sports (cricket), Technology & Coding (coding)","Sports (cricket), Technology & Coding (coding)"
950,Acquiring information about social activities and current affairs helps in staying informed,acquiring information about social activities and current affairs helps in staying informed,Social & Volunteering (social),Social & Volunteering (social)
951,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
952,Nothing ,nothing,,None (explicit none match)
953,athletics,athletics,Sports (athletics),Sports (athletics)
954,No,no,,None (explicit none match)
955,Travel  Dance ,travel  dance,"Music & Dance (dance), Travel & Adventure (travel)","Music & Dance (dance), Travel & Adventure (travel)"
956,Capturing pictures  ,capturing pictures,Arts & Crafts (pictures),Arts & Crafts (pictures)
