OriginalRow,OriginalText,CleanText,MatchedCategories,FinalCategory
2,None,none,,None (explicit none match)
3,Soccer . Chess,soccer   chess,Sports (soccer),Sports (soccer)
4,Maths,maths,Education & Study (math),Education & Study (math)
5,Reading books Data Science Singing classical songs ,reading books data science singing classical songs,"Music & Dance (singing), Reading & Writing (read)","Music & Dance (singing), Reading & Writing (read)"
6,Swimming Painting Cooking Travelling ,swimming painting cooking travelling,"Sports (swim), Arts & Crafts (painting), Travel & Adventure (travel), Cooking & Baking (cook)","Arts & Crafts (painting), Cooking & Baking (cook), Sports (swim), Travel & Adventure (travel)"
7,Reading and interests is in study of economics  business and finance ,reading and interests is in study of economics  business and finance,"Reading & Writing (read), Business & Finance (business), Education & Study (study)","Business & Finance (business), Education & Study (study), Reading & Writing (read)"
8,I like to read . I like to visit new places. ,i like to read   i like to visit new places,"Reading & Writing (read), Design (new)","Design (new), Reading & Writing (read)"
9,Doodling,doodling,Arts & Crafts (doodling),Arts & Crafts (doodling)
10,Reading and Drawing ,reading and drawing,"Arts & Crafts (drawing), Reading & Writing (read)","Arts & Crafts (drawing), Reading & Writing (read)"
11,Gym coding,gym coding,"Technology & Coding (coding), Fitness & Gym (gym)","Fitness & Gym (gym), Technology & Coding (coding)"
12,I like to play cricket to study,i like to play cricket to study,"Sports (cricket), Education & Study (study)","Education & Study (study), Sports (cricket)"
13,Playing badminton and reading books ,playing badminton and reading books,"Sports (badminton), Reading & Writing (read)","Reading & Writing (read), Sports (badminton)"
14,Volleyball keeping up with the current technological trends,volleyball keeping up with the current technological trends,"Sports (volley), Technology & Coding (tech)","Sports (volley), Technology & Coding (tech)"
15,Cooking food any sports ,cooking food any sports,"Sports (sport), Cooking & Baking (cook)","Cooking & Baking (cook), Sports (sport)"
16,Listen music,listen music,Music & Dance (music),Music & Dance (music)
17,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
18,Beatboxing,beatboxing,"Sports (boxing), Music & Dance (beatboxing)","Music & Dance (beatboxing), Sports (boxing)"
19,Chess ,chess,Sports (chess),Sports (chess)
20,Interests : Working out at the gym.,interests   working out at the gym,Fitness & Gym (gym),Fitness & Gym (gym)
21,Watching movies,watching movies,Entertainment (movie),Entertainment (movie)
22,Sports ,sports,Sports (sport),Sports (sport)
23,Cricket ,cricket,Sports (cricket),Sports (cricket)
24,Art study related astronomy travelling ,art study related astronomy travelling,"Arts & Crafts (art), Travel & Adventure (travel), Education & Study (study), Occult & Astrology (astronomy)","Arts & Crafts (art), Education & Study (study), Occult & Astrology (astronomy), Travel & Adventure (travel)"
25,Cars automobiles sports,cars automobiles sports,"Sports (sport), Automotive & Racing (car)","Automotive & Racing (car), Sports (sport)"
26,Trekking traveling and interested in learning geography and current affairs,trekking traveling and interested in learning geography and current affairs,"Reading & Writing (learn), Travel & Adventure (travel), Education & Study (learning)","Education & Study (learning), Reading & Writing (learn), Travel & Adventure (travel)"
27,Singing and listening eng poetries,singing and listening eng poetries,"Music & Dance (singing), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (singing)"
28,competitive gaming (ESPORTS)  music ,competitive gaming  esports   music,"Sports (sport), Music & Dance (music), Gaming (gaming)","Gaming (gaming), Music & Dance (music), Sports (sport)"
29,Gaming bike riding swimming ,gaming bike riding swimming,"Sports (swim), Gaming (gaming), Automotive & Racing (bike)","Automotive & Racing (bike), Gaming (gaming), Sports (swim)"
30,Bike riding and trekking ,bike riding and trekking,"Travel & Adventure (trek), Automotive & Racing (bike)","Automotive & Racing (bike), Travel & Adventure (trek)"
31,Painting crocheting reading,painting crocheting reading,"Arts & Crafts (painting), Reading & Writing (read)","Arts & Crafts (painting), Reading & Writing (read)"
32,Painting,painting,Arts & Crafts (painting),Arts & Crafts (painting)
33,My hobby is to travel new places which are covered by Nature Cooking new dishes learning various languages solving puzzles writing diary regularly playing badminton etc ,my hobby is to travel new places which are covered by nature cooking new dishes learning various languages solving puzzles writing diary regularly playing badminton etc,"Sports (badminton), Reading & Writing (writing), Travel & Adventure (travel), Cooking & Baking (cook), Design (new), Education & Study (learning)","Cooking & Baking (cook), Design (new), Education & Study (learning), Reading & Writing (writing), Sports (badminton), Travel & Adventure (travel)"
34,Drawing playing outdoor games,drawing playing outdoor games,"Arts & Crafts (drawing), Gaming (game)","Arts & Crafts (drawing), Gaming (game)"
35,Table tennis Swimming ,table tennis swimming,Sports (tennis),Sports (tennis)
36,Football Swimming ,football swimming,Sports (football),Sports (football)
37,I like to write poetry and sometimes sing,i like to write poetry and sometimes sing,Reading & Writing (poetry),Reading & Writing (poetry)
38,Volleyball  Football ,volleyball  football,Sports (football),Sports (football)
39,Travelling dancing ,travelling dancing,"Music & Dance (dancing), Travel & Adventure (travel)","Music & Dance (dancing), Travel & Adventure (travel)"
40,Calisthenics sketching  dancing,calisthenics sketching  dancing,"Arts & Crafts (sketching), Music & Dance (dancing)","Arts & Crafts (sketching), Music & Dance (dancing)"
41,Playing football listening podcast organizing events,playing football listening podcast organizing events,"Sports (football), Social & Volunteering (event), Mind & Wellness (listening)","Mind & Wellness (listening), Social & Volunteering (event), Sports (football)"
42,Playing badminton,playing badminton,Sports (badminton),Sports (badminton)
43,I am a professional graphic designer. Being a graphic designer is my hobby,i am a professional graphic designer  being a graphic designer is my hobby,Design (design),Design (design)
44,Hobby - playing games  watching movies. Intrests - learning new skills,hobby   playing games  watching movies  intrests   learning new skills,"Reading & Writing (learn), Gaming (game), Design (new), Education & Study (learning), Entertainment (movie)","Design (new), Education & Study (learning), Entertainment (movie), Gaming (game), Reading & Writing (learn)"
45,Painting diy,painting diy,"Arts & Crafts (painting), Cooking & Baking (diy)","Arts & Crafts (painting), Cooking & Baking (diy)"
46,Walking reading ,walking reading,"Reading & Writing (read), Fitness & Gym (walking)","Fitness & Gym (walking), Reading & Writing (read)"
47,Cookingdancingdrawing,cookingdancingdrawing,"Arts & Crafts (drawing), Music & Dance (dancing), Cooking & Baking (cook)","Arts & Crafts (drawing), Cooking & Baking (cook), Music & Dance (dancing)"
48,Painting reading cooking dancing,painting reading cooking dancing,"Arts & Crafts (painting), Music & Dance (dancing), Reading & Writing (read), Cooking & Baking (cook)","Arts & Crafts (painting), Cooking & Baking (cook), Music & Dance (dancing), Reading & Writing (read)"
49,Playing Football ,playing football,Sports (football),Sports (football)
50,Gym,gym,Fitness & Gym (gym),Fitness & Gym (gym)
51,playing cricket gym coding ,playing cricket gym coding,"Sports (cricket), Technology & Coding (coding), Fitness & Gym (gym)","Fitness & Gym (gym), Sports (cricket), Technology & Coding (coding)"
52,Traveling reading Helping,traveling reading helping,"Reading & Writing (read), Travel & Adventure (travel)","Reading & Writing (read), Travel & Adventure (travel)"
53,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
54,Travelling exploring foodie living life,travelling exploring foodie living life,"Travel & Adventure (travel), Cooking & Baking (food)","Cooking & Baking (food), Travel & Adventure (travel)"
55,Playing fluteguitar solo travelling,playing fluteguitar solo travelling,"Music & Dance (guitar), Travel & Adventure (travel)","Music & Dance (guitar), Travel & Adventure (travel)"
56,No,no,,None (explicit none match)
57,Dancing Exploring new things and travelling ,dancing exploring new things and travelling,"Music & Dance (dancing), Travel & Adventure (travel), Design (new)","Design (new), Music & Dance (dancing), Travel & Adventure (travel)"
58,Singing travelling dancing  learning new skills ,singing travelling dancing  learning new skills,"Music & Dance (singing), Reading & Writing (learn), Travel & Adventure (travel), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Music & Dance (singing), Reading & Writing (learn), Travel & Adventure (travel)"
59,Learning new skills ,learning new skills,"Reading & Writing (learn), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Reading & Writing (learn)"
60,Read books,read books,Reading & Writing (read),Reading & Writing (read)
61,No,no,,None (explicit none match)
62,My hoobies are playing outdoor games like football cricket badminton kho kho  kabbadi and indoor games like chess caroom board pool . I aslo like to read  books based mythology autobiography and novel's too.  Languages prefessed hindi marathi and english . I also like do social work  and  currently did social work  with Rss ( Rastriya Swayamsevak Sangh ) being a swayamsevak since childhood. I also like to explore new thing .,my hoobies are playing outdoor games like football cricket badminton kho kho  kabbadi and indoor games like chess caroom board pool   i aslo like to read  books based mythology autobiography and novel s too   languages prefessed hindi marathi and english   i also like do social work  and  currently did social work  with rss   rastriya swayamsevak sangh   being a swayamsevak since childhood  i also like to explore new thing,"Sports (chess), Reading & Writing (read), Gaming (game), Social & Volunteering (social), Design (new), Education & Study (language), Automotive & Racing (car)","Automotive & Racing (car), Design (new), Education & Study (language), Gaming (game), Reading & Writing (read), Social & Volunteering (social), Sports (chess)"
63,Dancing journaling ,dancing journaling,Music & Dance (dancing),Music & Dance (dancing)
64,Dancing computing with people collection of articles ,dancing computing with people collection of articles,"Arts & Crafts (art), Music & Dance (dancing), Technology & Coding (computing)","Arts & Crafts (art), Music & Dance (dancing), Technology & Coding (computing)"
65,Travelling swimming,travelling swimming,"Sports (swim), Travel & Adventure (travel)","Sports (swim), Travel & Adventure (travel)"
66,Singing ,singing,Music & Dance (singing),Music & Dance (singing)
67,Football,football,Sports (football),Sports (football)
68,Trekking and I am interested in coding ,trekking and i am interested in coding,"Travel & Adventure (trek), Technology & Coding (coding)","Technology & Coding (coding), Travel & Adventure (trek)"
69,Playing Cricket ,playing cricket,Sports (cricket),Sports (cricket)
70,Cricket,cricket,Sports (cricket),Sports (cricket)
71,Cricket ,cricket,Sports (cricket),Sports (cricket)
72,Gaming,gaming,Gaming (gaming),Gaming (gaming)
73,Playing cricket reading books mission gadkottreking,playing cricket reading books mission gadkottreking,"Sports (cricket), Reading & Writing (read), Travel & Adventure (trek)","Reading & Writing (read), Sports (cricket), Travel & Adventure (trek)"
74,Sketching and writing ,sketching and writing,"Arts & Crafts (sketching), Reading & Writing (writing)","Arts & Crafts (sketching), Reading & Writing (writing)"
75,Table tennis ,table tennis,Sports (tennis),Sports (tennis)
76,Acting cooking,acting cooking,"Arts & Crafts (acting), Cooking & Baking (cook)","Arts & Crafts (acting), Cooking & Baking (cook)"
77,Gaming,gaming,Gaming (gaming),Gaming (gaming)
78,. ,,,None (explicit none match)
79,Coding ,coding,Technology & Coding (coding),Technology & Coding (coding)
80,Football drawing online games coding ,football drawing online games coding,"Sports (football), Arts & Crafts (drawing), Technology & Coding (coding), Gaming (game)","Arts & Crafts (drawing), Gaming (game), Sports (football), Technology & Coding (coding)"
81,Learning new skills sketching and painting,learning new skills sketching and painting,"Arts & Crafts (painting), Reading & Writing (learn), Design (new), Education & Study (learning)","Arts & Crafts (painting), Design (new), Education & Study (learning), Reading & Writing (learn)"
82,Playing outdoor games Swimming Reading ,playing outdoor games swimming reading,"Sports (swim), Reading & Writing (read), Gaming (game)","Gaming (game), Reading & Writing (read), Sports (swim)"
83,All types of sportsGymreading financehistorical and political books or blogslearning new technologies and understanding working of different industries,all types of sportsgymreading financehistorical and political books or blogslearning new technologies and understanding working of different industries,"Sports (sport), Reading & Writing (read), Technology & Coding (tech), Fitness & Gym (gym), Design (new), Business & Finance (finance), Education & Study (learning)","Business & Finance (finance), Design (new), Education & Study (learning), Fitness & Gym (gym), Reading & Writing (read), Sports (sport), Technology & Coding (tech)"
84,Singing and coding,singing and coding,"Music & Dance (singing), Technology & Coding (coding)","Music & Dance (singing), Technology & Coding (coding)"
85,Reading coding ,reading coding,"Reading & Writing (read), Technology & Coding (coding)","Reading & Writing (read), Technology & Coding (coding)"
86,Anime football cricket movie ,anime football cricket movie,"Sports (cricket), Entertainment (movie)","Entertainment (movie), Sports (cricket)"
87,Chess Basketball listening to music,chess basketball listening to music,"Sports (chess), Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music), Sports (chess)"
88,Reading travelling,reading travelling,"Reading & Writing (read), Travel & Adventure (travel)","Reading & Writing (read), Travel & Adventure (travel)"
89,Dancing and reading ,dancing and reading,"Music & Dance (dancing), Reading & Writing (read)","Music & Dance (dancing), Reading & Writing (read)"
90,Traveling ,traveling,Travel & Adventure (travel),Travel & Adventure (travel)
91,Cooking Reading Novels,cooking reading novels,"Reading & Writing (read), Cooking & Baking (cook)","Cooking & Baking (cook), Reading & Writing (read)"
92,Sketching and playing games,sketching and playing games,"Arts & Crafts (sketching), Gaming (game)","Arts & Crafts (sketching), Gaming (game)"
93,Cooking dancing,cooking dancing,"Music & Dance (dancing), Cooking & Baking (cook)","Cooking & Baking (cook), Music & Dance (dancing)"
94,Listening to music watching movies.,listening to music watching movies,"Music & Dance (music), Entertainment (movie), Mind & Wellness (listening)","Entertainment (movie), Mind & Wellness (listening), Music & Dance (music)"
95,Travel Collecting old coins Watching documenteries ,travel collecting old coins watching documenteries,"Travel & Adventure (travel), Entertainment (watching)","Entertainment (watching), Travel & Adventure (travel)"
96,Guitar,guitar,Music & Dance (guitar),Music & Dance (guitar)
97,Reading and playing ,reading and playing,Reading & Writing (read),Reading & Writing (read)
98,Chess and dancing,chess and dancing,"Sports (chess), Music & Dance (dancing)","Music & Dance (dancing), Sports (chess)"
99,producing music,producing music,Music & Dance (music),Music & Dance (music)
100,None,none,,None (explicit none match)
101,Playing Cricket,playing cricket,Sports (cricket),Sports (cricket)
102,Basketball harmonium singing dancing,basketball harmonium singing dancing,"Sports (basketball), Music & Dance (singing)","Music & Dance (singing), Sports (basketball)"
103,Playing Cricket ,playing cricket,Sports (cricket),Sports (cricket)
104,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
105,Sports and cinema ,sports and cinema,"Sports (sport), Entertainment (cinema)","Entertainment (cinema), Sports (sport)"
106,Sketching,sketching,Arts & Crafts (sketching),Arts & Crafts (sketching)
107,Sports drawing dancing and I have interest in coding a d extracurricular activities,sports drawing dancing and i have interest in coding a d extracurricular activities,"Sports (sport), Arts & Crafts (drawing), Music & Dance (dancing), Technology & Coding (coding)","Arts & Crafts (drawing), Music & Dance (dancing), Sports (sport), Technology & Coding (coding)"
108,Playing chess badminton online games travelling,playing chess badminton online games travelling,"Sports (chess), Travel & Adventure (travel), Gaming (game)","Gaming (game), Sports (chess), Travel & Adventure (travel)"
109,Trading  poetry ,trading  poetry,"Reading & Writing (poetry), Business & Finance (trading)","Business & Finance (trading), Reading & Writing (poetry)"
110,Football watching anime,football watching anime,"Sports (football), Entertainment (watching)","Entertainment (watching), Sports (football)"
111,Riding studying swimming ,riding studying swimming,"Sports (swim), Education & Study (studying), Automotive & Racing (riding)","Automotive & Racing (riding), Education & Study (studying), Sports (swim)"
112,Kdrama  reading books ,kdrama  reading books,Reading & Writing (read),Reading & Writing (read)
113,Football,football,Sports (football),Sports (football)
114,Martial Arts,martial arts,"Sports (martial arts), Arts & Crafts (art)","Arts & Crafts (art), Sports (martial arts)"
115,Listening to music and playing video games ,listening to music and playing video games,"Music & Dance (music), Gaming (game), Mind & Wellness (listening)","Gaming (game), Mind & Wellness (listening), Music & Dance (music)"
116,Photography Technological study ,photography technological study,"Technology & Coding (tech), Design (photography), Education & Study (study)","Design (photography), Education & Study (study), Technology & Coding (tech)"
117,Singing ,singing,Music & Dance (singing),Music & Dance (singing)
118,sports like badminton and skating,sports like badminton and skating,Sports (badminton),Sports (badminton)
119,Reading story books & playing video games are my hobbies ,reading story books   playing video games are my hobbies,"Reading & Writing (read), Gaming (game)","Gaming (game), Reading & Writing (read)"
120,Reading books articles sketching  study about space listening songs,reading books articles sketching  study about space listening songs,"Arts & Crafts (sketching), Music & Dance (song), Reading & Writing (read), Education & Study (study), Mind & Wellness (listening)","Arts & Crafts (sketching), Education & Study (study), Mind & Wellness (listening), Music & Dance (song), Reading & Writing (read)"
121,Drawing and Coding,drawing and coding,"Arts & Crafts (drawing), Technology & Coding (coding)","Arts & Crafts (drawing), Technology & Coding (coding)"
122,Basketball  sketching  cricket footballetc,basketball  sketching  cricket footballetc,"Sports (cricket), Arts & Crafts (sketching)","Arts & Crafts (sketching), Sports (cricket)"
123,sketching sports outings ,sketching sports outings,"Sports (sport), Arts & Crafts (sketching)","Arts & Crafts (sketching), Sports (sport)"
124,Music,music,Music & Dance (music),Music & Dance (music)
125,Travelling Singing Cooking Swimming Playing Badminton.,travelling singing cooking swimming playing badminton,"Sports (badminton), Music & Dance (singing), Travel & Adventure (travel), Cooking & Baking (cook)","Cooking & Baking (cook), Music & Dance (singing), Sports (badminton), Travel & Adventure (travel)"
126,Sports and music,sports and music,"Sports (sport), Music & Dance (music)","Music & Dance (music), Sports (sport)"
127,Football Singing Gaming workout,football singing gaming workout,"Sports (football), Music & Dance (singing), Gaming (gaming), Fitness & Gym (workout)","Fitness & Gym (workout), Gaming (gaming), Music & Dance (singing), Sports (football)"
128,Playing Football and guitar also drawing and listening to music ,playing football and guitar also drawing and listening to music,"Sports (football), Arts & Crafts (drawing), Music & Dance (music), Mind & Wellness (listening)","Arts & Crafts (drawing), Mind & Wellness (listening), Music & Dance (music), Sports (football)"
129,Playing Badminton ,playing badminton,Sports (badminton),Sports (badminton)
130,Hobbies: To play outdoor sports watch movies etc.      Interests: To run a Business.,hobbies  to play outdoor sports watch movies etc       interests  to run a business,"Sports (sport), Business & Finance (business), Entertainment (movie)","Business & Finance (business), Entertainment (movie), Sports (sport)"
131,Playing cricket watching movies,playing cricket watching movies,"Sports (cricket), Entertainment (movie)","Entertainment (movie), Sports (cricket)"
132,Getting knowledge about different businesses ,getting knowledge about different businesses,"Business & Finance (business), Education & Study (knowledge)","Business & Finance (business), Education & Study (knowledge)"
133,Travelling,travelling,Travel & Adventure (travel),Travel & Adventure (travel)
134,I like to read novels play badminton. I also enjoy painting.,i like to read novels play badminton  i also enjoy painting,"Sports (badminton), Arts & Crafts (painting), Reading & Writing (read)","Arts & Crafts (painting), Reading & Writing (read), Sports (badminton)"
135,Dance (kathak class ) reading books ,dance  kathak class   reading books,"Music & Dance (dance), Reading & Writing (read)","Music & Dance (dance), Reading & Writing (read)"
136,Chess Watching Mystery movies ,chess watching mystery movies,"Sports (chess), Entertainment (movie)","Entertainment (movie), Sports (chess)"
137,Playing games playing basketball reading books,playing games playing basketball reading books,"Sports (basketball), Reading & Writing (read), Gaming (game)","Gaming (game), Reading & Writing (read), Sports (basketball)"
138,Adventure trekking swimming reading vacation ,adventure trekking swimming reading vacation,"Sports (swim), Reading & Writing (read), Travel & Adventure (trek)","Reading & Writing (read), Sports (swim), Travel & Adventure (trek)"
139,I play cricket as my hobby. Love reading books ,i play cricket as my hobby  love reading books,"Sports (cricket), Reading & Writing (read)","Reading & Writing (read), Sports (cricket)"
140,Photography  swimming  trekking  painting and drawing  badminton  volleyball .,photography  swimming  trekking  painting and drawing  badminton  volleyball,"Sports (badminton), Arts & Crafts (drawing), Travel & Adventure (trek), Design (photography)","Arts & Crafts (drawing), Design (photography), Sports (badminton), Travel & Adventure (trek)"
141,Playing tabla,playing tabla,Music & Dance (tabla),Music & Dance (tabla)
142,Business case study,business case study,"Business & Finance (business), Education & Study (study)","Business & Finance (business), Education & Study (study)"
143,Like to read and understand Geeta like to play badminton and football read and understand religious devotional songs.,like to read and understand geeta like to play badminton and football read and understand religious devotional songs,"Sports (football), Music & Dance (song), Reading & Writing (read)","Music & Dance (song), Reading & Writing (read), Sports (football)"
144,Chess Gaming,chess gaming,"Sports (chess), Gaming (gaming)","Gaming (gaming), Sports (chess)"
145,Football Calisthenics and Cycling,football calisthenics and cycling,Sports (football),Sports (football)
146,Reading,reading,Reading & Writing (read),Reading & Writing (read)
147,Driving car and sketching ,driving car and sketching,"Arts & Crafts (sketching), Travel & Adventure (driving), Automotive & Racing (car)","Arts & Crafts (sketching), Automotive & Racing (car), Travel & Adventure (driving)"
148,Singing Reading Travelling Games Movies ,singing reading travelling games movies,"Music & Dance (singing), Reading & Writing (read), Travel & Adventure (travel), Gaming (game), Entertainment (movie)","Entertainment (movie), Gaming (game), Music & Dance (singing), Reading & Writing (read), Travel & Adventure (travel)"
149,Design ,design,Design (design),Design (design)
150,Tracking is my hobbies to visit various forts and mountains ,tracking is my hobbies to visit various forts and mountains,Travel & Adventure (tracking),Travel & Adventure (tracking)
151,Entrepreneurship Cricket ,entrepreneurship cricket,"Sports (cricket), Business & Finance (entrepreneurship)","Business & Finance (entrepreneurship), Sports (cricket)"
152,Listening to music,listening to music,"Music & Dance (music), Mind & Wellness (listening)","Mind & Wellness (listening), Music & Dance (music)"
153,Playing Cricket and BGMI,playing cricket and bgmi,Sports (cricket),Sports (cricket)
154,My hobby is learning new skillsalso i love singing.,my hobby is learning new skillsalso i love singing,"Music & Dance (singing), Reading & Writing (learn), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Music & Dance (singing), Reading & Writing (learn)"
155,Sports in( cricket),sports in  cricket,Sports (cricket),Sports (cricket)
156,Cricket Project work Chess.,cricket project work chess,"Sports (chess), Business & Finance (project)","Business & Finance (project), Sports (chess)"
157,Teaching students outdoor activities yoga  dancing,teaching students outdoor activities yoga  dancing,"Music & Dance (dancing), Education & Study (teaching), Mind & Wellness (yoga)","Education & Study (teaching), Mind & Wellness (yoga), Music & Dance (dancing)"
158,Cars,cars,Automotive & Racing (car),Automotive & Racing (car)
159,Swimming ,swimming,Sports (swim),Sports (swim)
160,Dancing ,dancing,Music & Dance (dancing),Music & Dance (dancing)
161,Playing physical & video games driving bick raiding ,playing physical   video games driving bick raiding,"Travel & Adventure (driving), Gaming (game)","Gaming (game), Travel & Adventure (driving)"
162,Bodybuilding Driving ,bodybuilding driving,"Travel & Adventure (driving), Fitness & Gym (bodybuilding)","Fitness & Gym (bodybuilding), Travel & Adventure (driving)"
163,Design ,design,Design (design),Design (design)
164,Musical instruments playing ,musical instruments playing,Music & Dance (music),Music & Dance (music)
165,Cricket volleyball cooking  stock market Trekking travelling ,cricket volleyball cooking  stock market trekking travelling,"Sports (cricket), Travel & Adventure (travel), Cooking & Baking (cook), Business & Finance (stock market)","Business & Finance (stock market), Cooking & Baking (cook), Sports (cricket), Travel & Adventure (travel)"
166,Working out hanging out with family and friends sports like cricketkabaddi Playing cards Video games.,working out hanging out with family and friends sports like cricketkabaddi playing cards video games,"Sports (cricket), Gaming (game), Automotive & Racing (car), Mind & Wellness (family)","Automotive & Racing (car), Gaming (game), Mind & Wellness (family), Sports (cricket)"
167,Trekking,trekking,Travel & Adventure (trek),Travel & Adventure (trek)
168,Interested in learning new skills ,interested in learning new skills,"Reading & Writing (learn), Design (new), Education & Study (learning)","Design (new), Education & Study (learning), Reading & Writing (learn)"
169,Car & Bike Driving ,car   bike driving,"Travel & Adventure (driving), Automotive & Racing (car)","Automotive & Racing (car), Travel & Adventure (driving)"
170,Paintingbaking cooking art writingjournaling and writing dairy ,paintingbaking cooking art writingjournaling and writing dairy,"Arts & Crafts (painting), Reading & Writing (writing), Cooking & Baking (cook)","Arts & Crafts (painting), Cooking & Baking (cook), Reading & Writing (writing)"
171,To learn new things,to learn new things,"Reading & Writing (learn), Design (new)","Design (new), Reading & Writing (learn)"
172,Car knowledge  cricket badminton acting ,car knowledge  cricket badminton acting,"Sports (cricket), Arts & Crafts (acting), Education & Study (knowledge), Automotive & Racing (car)","Arts & Crafts (acting), Automotive & Racing (car), Education & Study (knowledge), Sports (cricket)"
173,Gym for healthy physic,gym for healthy physic,Fitness & Gym (gym),Fitness & Gym (gym)
174,Photography basketball,photography basketball,"Sports (basketball), Design (photography)","Design (photography), Sports (basketball)"
175,Traveling and Football ,traveling and football,"Sports (football), Travel & Adventure (travel)","Sports (football), Travel & Adventure (travel)"
176,Trekking reading travelling ,trekking reading travelling,"Reading & Writing (read), Travel & Adventure (travel)","Reading & Writing (read), Travel & Adventure (travel)"
177,Watching movies playing games,watching movies playing games,"Gaming (game), Entertainment (movie)","Entertainment (movie), Gaming (game)"
178,Dancing reading books ,dancing reading books,"Music & Dance (dancing), Reading & Writing (read)","Music & Dance (dancing), Reading & Writing (read)"
179,Football eSports,football esports,"Sports (football), Gaming (esports)","Gaming (esports), Sports (football)"
180,Travelling and Anime watching ,travelling and anime watching,"Travel & Adventure (travel), Entertainment (watching)","Entertainment (watching), Travel & Adventure (travel)"
181,I Just Love CRICKET ðŸ,i just love cricket ðÿ,Sports (cricket),Sports (cricket)
182,Sports dancing reading books,sports dancing reading books,"Sports (sport), Music & Dance (dancing), Reading & Writing (read)","Music & Dance (dancing), Reading & Writing (read), Sports (sport)"
183,I like Aerodesigning I like listening podcasts I like playing outdoor games,i like aerodesigning i like listening podcasts i like playing outdoor games,"Gaming (game), Design (design), Mind & Wellness (listening)","Design (design), Gaming (game), Mind & Wellness (listening)"
184,Tracking ,tracking,Travel & Adventure (tracking),Travel & Adventure (tracking)
185,Reading and Writing poetry ,reading and writing poetry,Reading & Writing (read),Reading & Writing (read)
186,I am a tech enthusiast and really interested in Cyber Security field. I recently got selected at IIT Guwahati's Cyber Security Expert Mini Credit program and pursuing this degree from IIT Guwahati. I am also a Singer and love singing. Due to my strong leadership and management skills I have been elected as Vice-president of College's first Cyber Security Students Club Protocol which is a college level Club.,i am a tech enthusiast and really interested in cyber security field  i recently got selected at iit guwahati s cyber security expert mini credit program and pursuing this degree from iit guwahati  i am also a singer and love singing  due to my strong leadership and management skills i have been elected as vice president of college s first cyber security students club protocol which is a college level club,"Music & Dance (singing), Technology & Coding (tech)","Music & Dance (singing), Technology & Coding (tech)"
187,Reading ,reading,Reading & Writing (read),Reading & Writing (read)
188,Solving Rubics cube,solving rubics cube,Puzzles (cube),Puzzles (cube)
189,Music ,music,Music & Dance (music),Music & Dance (music)
190,There are many but kez hobbies is playing badminton and working for business ideas,there are many but kez hobbies is playing badminton and working for business ideas,"Sports (badminton), Business & Finance (business)","Business & Finance (business), Sports (badminton)"
191,music and badminton ,music and badminton,"Sports (badminton), Music & Dance (music)","Music & Dance (music), Sports (badminton)"
192,Reading organizing ,reading organizing,Reading & Writing (read),Reading & Writing (read)
193,Playing team sports ,playing team sports,Sports (sport),Sports (sport)
194,Gaming  Listening To Music ,gaming  listening to music,"Music & Dance (music), Gaming (gaming), Mind & Wellness (listening)","Gaming (gaming), Mind & Wellness (listening), Music & Dance (music)"
195,Watching movies playing chess ,watching movies playing chess,"Sports (chess), Entertainment (movie)","Entertainment (movie), Sports (chess)"
196,Trekking Reading books cycling ,trekking reading books cycling,"Reading & Writing (read), Travel & Adventure (trek)","Reading & Writing (read), Travel & Adventure (trek)"
197,Drawing ,drawing,Arts & Crafts (drawing),Arts & Crafts (drawing)
198,-,,,None (explicit none match)
199,Playing games,playing games,Gaming (game),Gaming (game)
200,playing cricket football etc,playing cricket football etc,Sports (cricket),Sports (cricket)
201,Sports Drawing ,sports drawing,"Sports (sport), Arts & Crafts (drawing)","Arts & Crafts (drawing), Sports (sport)"
202,Currently interested in learning stock marketing ,currently interested in learning stock marketing,"Reading & Writing (learn), Business & Finance (stock market), Education & Study (learning)","Business & Finance (stock market), Education & Study (learning), Reading & Writing (learn)"
203,Swimming ,swimming,Sports (swim),Sports (swim)
204,I interested in achiving good skills in mechanical field . I am interested to study softwares about mechanical engineering. ,i interested in achiving good skills in mechanical field   i am interested to study softwares about mechanical engineering,"Technology & Coding (software), Education & Study (study)","Education & Study (study), Technology & Coding (software)"
205,Sports ,sports,Sports (sport),Sports (sport)
206,SANDART Singing acting  drawing participate in dramas in cultural ,sandart singing acting  drawing participate in dramas in cultural,"Arts & Crafts (drawing), Music & Dance (singing)","Arts & Crafts (drawing), Music & Dance (singing)"
207,Drawing Painting Art and Crafts Photography Exploring ,drawing painting art and crafts photography exploring,"Arts & Crafts (drawing), Travel & Adventure (exploring), Design (photography)","Arts & Crafts (drawing), Design (photography), Travel & Adventure (exploring)"
208,Playing video games or cricket or maybe physical activities ,playing video games or cricket or maybe physical activities,"Sports (cricket), Gaming (game)","Gaming (game), Sports (cricket)"
