10thPercentage
82
80
91
89.8
94%
94%
96%
93.4
85.4
86.5
80
95
88
90
90
91.00%
88.20%
97
93%
86
89
96.2
93.20%
90
96
91%
92.6
94.2
93.4
94.8
95.4
89%
93.40%
90.80%
82%
89.20%
93.5
90.2
94.86
81
95%
80.8
89
93.2
87
87%
88.88%
80
67
61
85.7
93.67%
86.6
92
72
90.5
97.00%
90
85
84. 84
75
95
96.8
75
92.40%
90.6
82%
95
92.6
87
89
93
93
93.6
89
96
80
85
87.8
94.2
94.4
85
96.05
93.80%
98.8
92
89.8
94.2
89
95.4
95
96
93
97.86
82
96.4
87
93%
97.2
96
93.8
92
89
89
93.6
90.3
88.8
91.2
90.4
75
87.2
93.2
95.8
91.4
88
79
85
78.4
93.4
95.40%
82%
95.2
94
93.80%
88.4
92.8
72%
94
87
86%
85
87
83%
64%
73
95.8
95.4
89
91
90%
82
85
79
83
81
89.2
91
72
72
85
88
91%
89.6
63.6
86.8
83%
64
55.6
88
55.40%
84.6
90
81%
78
90.91
80.8
81.2
84.60%
82
99.98
84.3
74
79
89.2
86.5
83
90
82.4
98.6
96.20%
87
82.2
91.2
92.8
88.2
80%
80.6
93
7.5
90
95%
85
62
88%
95.8
95.8
70%
68
88.6
90.68
79
71.2
91.4
92.6
75.83
93.2
91.8
75
93.4
83.2
94%
89.2
94.40%
84
65%
90
83.6
77.33
78.8
77
68.40%
93.6
91
78
96.4
84.60%
88.7
92
77.62
98.60%
100
85
70
81
90.2
96.67
81
96.60%
89
93.6
80
89.6
93.6
88
68%
85
88
82
76.8
88.8
92.8
89.9
88
89
87.12
58
90.4
76.4
87.2
60
84%
72.83
68
77.2
93.4
87.40%
79.6
85%
80.4
87%
75
88%
86.4
85.4
94.8
92
87.5
92.6
69
90
93.20%
78.83
72
84
84.2
82
75.35
90
88.87
88.2
82
96.40%
91
65
80
78%
96
66%
92
79.4
80%
88.00%
94.6
90%
72.2
86
90.80%
82.2
95
77
62.58
79
82.80%
90.8
95
69
84.4
73.4
80
84
86.8
79
96
85.8
74.84%
89.60%
89 
67.60%
90.6
83%
83.80%
80%
71.53
90.2
93
77
96%
